session_ID,station_ID,port_ID,session_start,session_end,kWh_delivered,payment_required
2_39_129_17_2021-05-06 15:51:19.875625,39,2-39-129-17,2021-05-06T15:51:48Z,2021-05-07T00:10:26Z,6.169,TRUE
2_39_127_19_2021-05-06 17:10:40.346669,39,2-39-127-19,2021-05-06T17:10:43Z,2021-05-06T18:19:45Z,3.165,TRUE
2_39_81_4550_2021-05-06 18:29:30.787670,39,2-39-81-4550,2021-05-06T18:30:32Z,2021-05-06T19:03:19Z,24.294,TRUE
2_39_125_21_2021-05-06 18:52:55.935796,39,2-39-125-21,2021-05-06T18:53:07Z,2021-05-06T19:38:03Z,2.484,TRUE
2_39_81_4550_2021-05-06 20:15:19.021468,39,2-39-81-4550,2021-05-06T20:15:35Z,2021-05-06T21:05:54Z,24.376,TRUE
2_39_81_4550_2021-05-06 21:52:40.311140,39,2-39-81-4550,2021-05-06T21:52:48Z,2021-05-06T22:28:10Z,13.306,TRUE
2_39_131_30_2021-05-07 01:23:19.619716,39,2-39-131-30,2021-05-07T01:23:32Z,2021-05-07T02:58:53Z,10.911,TRUE
2_39_81_4550_2021-05-07 01:41:08.827345,39,2-39-81-4550,2021-05-07T01:41:14Z,2021-05-07T02:05:55Z,7.844,TRUE
2_39_81_4550_2021-05-07 02:48:20.547147,39,2-39-81-4550,2021-05-07T02:48:27Z,2021-05-07T03:10:41Z,16.504,TRUE
2_39_81_4550_2021-05-07 04:37:11.198856,39,2-39-81-4550,2021-05-07T04:37:16Z,2021-05-07T05:10:15Z,14.422,TRUE
2_39_81_4550_2021-05-07 13:33:52.599274,39,2-39-81-4550,2021-05-07T13:34:15Z,2021-05-07T14:27:05Z,34.27,TRUE
2_39_131_30_2021-05-07 15:14:46.226295,39,2-39-131-30,2021-05-07T15:14:57Z,2021-05-07T22:21:27Z,23.287,TRUE
2_39_129_17_2021-05-07 15:24:10.290232,39,2-39-129-17,2021-05-07T15:24:17Z,2021-05-07T23:31:25Z,20.224,TRUE
2_39_79_380_2021-05-07 15:33:10.679381,39,2-39-79-380,2021-05-07T15:33:24Z,2021-05-07T22:12:04Z,8.87,TRUE
2_39_139_28_2021-05-07 15:38:43.321684,39,2-39-139-28,2021-05-07T15:38:56Z,2021-05-07T18:19:13Z,6.334,TRUE
2_39_81_4550_2021-05-07 15:44:17.030178,39,2-39-81-4550,2021-05-07T15:44:27Z,2021-05-07T16:54:23Z,24.02,TRUE
2_39_79_379_2021-05-07 17:10:56.335554,39,2-39-79-379,2021-05-07T17:11:07Z,2021-05-08T00:54:57Z,10.12,TRUE
2_39_81_4550_2021-05-07 20:52:40.228062,39,2-39-81-4550,2021-05-07T20:52:46Z,2021-05-07T22:21:06Z,51.928,TRUE
2_39_125_21_2021-05-07 22:55:38.331009,39,2-39-125-21,2021-05-07T22:55:48Z,2021-05-07T23:47:33Z,2.857,TRUE
2_39_81_4550_2021-05-08 00:29:58.291409,39,2-39-81-4550,2021-05-08T00:30:12Z,2021-05-08T01:32:40Z,39.366,TRUE
2_39_81_4550_2021-05-08 01:48:40.370687,39,2-39-81-4550,2021-05-08T01:48:48Z,2021-05-08T02:15:19Z,19.122,TRUE
2_39_81_4550_2021-05-08 04:18:42.795113,39,2-39-81-4550,2021-05-08T04:18:50Z,2021-05-08T04:46:21Z,7.584,TRUE
2_39_81_4550_2021-05-08 16:19:42.995370,39,2-39-81-4550,2021-05-08T16:19:55Z,2021-05-08T17:03:00Z,33.08,TRUE
2_39_79_380_2021-05-08 18:46:39.303034,39,2-39-79-380,2021-05-08T18:46:53Z,2021-05-08T20:21:04Z,3.577,TRUE
2_39_81_4550_2021-05-08 21:07:36.914873,39,2-39-81-4550,2021-05-08T21:07:46Z,2021-05-08T21:40:13Z,21.622,TRUE
2_39_125_21_2021-05-08 21:55:42.459611,39,2-39-125-21,2021-05-08T21:55:50Z,2021-05-08T22:40:14Z,2.462,TRUE
2_39_81_4550_2021-05-08 22:48:02.162432,39,2-39-81-4550,2021-05-08T22:48:07Z,2021-05-08T23:13:09Z,18.788,TRUE
2_39_81_4550_2021-05-09 02:20:40.010806,39,2-39-81-4550,2021-05-09T02:20:53Z,2021-05-09T02:55:33Z,20.384,TRUE
2_39_131_30_2021-05-09 02:25:42.779099,39,2-39-131-30,2021-05-09T02:25:43Z,2021-05-09T02:50:05Z,0.672,
2_39_131_30_2021-05-09 05:33:21.978888,39,2-39-131-30,2021-05-09T05:33:29Z,2021-05-09T19:43:14Z,8.257,TRUE
